Wavelength(nm)	n	k
626	5,10039	3,72075
627	5,11312	3,7115
628	5,12574	3,70214
629	5,13823	3,69268
630	5,15059	3,68311
631	5,16283	3,67344
632	5,17493	3,66367
633	5,1869	3,65381
634	5,19874	3,64385
635	5,21045	3,6338
636	5,22201	3,62366
637	5,23344	3,61344
638	5,24473	3,60313
639	5,25588	3,59275
640	5,26689	3,58229
641	5,27776	3,57175
642	5,28848	3,56115
643	5,29906	3,55047
644	5,30949	3,53974
645	5,31977	3,52894
646	5,32991	3,51808
647	5,3399	3,50717
648	5,34975	3,4962
649	5,35944	3,48519
650	5,36899	3,47413
651	5,37839	3,46302
652	5,38763	3,45188
653	5,39674	3,4407
654	5,40569	3,42948
655	5,41449	3,41823
656	5,42314	3,40695
657	5,43165	3,39565
658	5,44001	3,38432
659	5,44822	3,37297
660	5,45628	3,36161
661	5,4642	3,35023
662	5,47197	3,33884
663	5,4796	3,32743
664	5,48708	3,31602
665	5,49442	3,30461
666	5,50161	3,2932
667	5,50866	3,28178
668	5,51557	3,27037
669	5,52234	3,25897
670	5,52898	3,24757
671	5,53547	3,23618
672	5,54183	3,22481
673	5,54805	3,21345
674	5,55414	3,20211
675	5,56009	3,19078
676	5,56591	3,17948
677	5,57161	3,1682
678	5,57717	3,15695
679	5,5826	3,14572
680	5,58791	3,13453
681	5,5931	3,12336
682	5,59816	3,11223
683	5,6031	3,10113
684	5,60791	3,09006
685	5,61261	3,07904
686	5,6172	3,06805
687	5,62166	3,05711
688	5,62602	3,0462
689	5,63026	3,03534
690	5,63439	3,02453
691	5,63841	3,01376
692	5,64232	3,00304
693	5,64613	2,99237
694	5,64983	2,98175
695	5,65344	2,97118
696	5,65694	2,96066
697	5,66034	2,95019
698	5,66364	2,93978
699	5,66685	2,92943
700	5,66997	2,91913
701	5,67299	2,90889
702	5,67592	2,89871
703	5,67877	2,88858
704	5,68153	2,87852
705	5,6842	2,86851
706	5,68679	2,85857
707	5,68929	2,84868
708	5,69172	2,83886
709	5,69406	2,82911
710	5,69633	2,81941
711	5,69853	2,80978
712	5,70065	2,80021
713	5,7027	2,79071
714	5,70468	2,78127
715	5,70659	2,7719
716	5,70843	2,76259
717	5,71021	2,75334
718	5,71192	2,74417
719	5,71357	2,73506
720	5,71516	2,72601
721	5,71669	2,71704
722	5,71816	2,70812
723	5,71957	2,69928
724	5,72094	2,6905
725	5,72224	2,68179
726	5,7235	2,67315
727	5,7247	2,66457
728	5,72586	2,65606
729	5,72697	2,64761
730	5,72803	2,63923
731	5,72904	2,63092
732	5,73002	2,62268
733	5,73095	2,6145
734	5,73184	2,60639
735	5,73269	2,59834
736	5,7335	2,59036
737	5,73428	2,58244
738	5,73502	2,57459
739	5,73572	2,5668
740	5,7364	2,55908
741	5,73704	2,55142
742	5,73765	2,54382
743	5,73823	2,53629
744	5,73878	2,52883
745	5,7393	2,52142
746	5,7398	2,51408
747	5,74028	2,5068
748	5,74072	2,49958
749	5,74115	2,49242
750	5,74156	2,48532
751	5,74194	2,47828
752	5,74231	2,47131
753	5,74265	2,46439
754	5,74298	2,45753
755	5,74329	2,45073
756	5,74359	2,44398
757	5,74387	2,4373
758	5,74414	2,43067
759	5,74439	2,42409
760	5,74463	2,41757
761	5,74486	2,41111
762	5,74509	2,4047
763	5,7453	2,39834
764	5,7455	2,39204
765	5,74569	2,38579
766	5,74588	2,37959
767	5,74606	2,37345
768	5,74624	2,36735
769	5,74641	2,3613
770	5,74657	2,35531
771	5,74674	2,34936
772	5,74689	2,34346
773	5,74705	2,3376
774	5,74721	2,3318
775	5,74736	2,32604
776	5,74752	2,32032
777	5,74767	2,31465
778	5,74783	2,30903
779	5,74799	2,30344
780	5,74814	2,2979
781	5,74831	2,29241
782	5,74847	2,28695
783	5,74864	2,28153
784	5,74881	2,27616
785	5,74899	2,27082
786	5,74917	2,26552
787	5,74935	2,26026
788	5,74954	2,25503
789	5,74974	2,24984
790	5,74995	2,24469
791	5,75016	2,23957
792	5,75038	2,23449
793	5,7506	2,22944
794	5,75083	2,22442
795	5,75107	2,21943
796	5,75132	2,21448
797	5,75158	2,20955
798	5,75185	2,20466
799	5,75212	2,19979
800	5,75241	2,19495
801	5,7527	2,19014
